Region,Year,Month,Day,Temperature,Precipitation
Oti,2017,6,10,29.337507973485412,54
Western North,2010,10,1,31.79359293181907,147
Eastern,2021,11,24,23.739558689062175,47
Western North,2013,11,23,25.623678491893777,250
Oti,2013,10,4,20.253099870256285,149
Western,2011,4,5,21.044831470657464,217
Oti,2012,10,15,28.218389518391803,160
Upper West,2019,9,23,30.31290015084042,76
Eastern,2014,7,27,21.889270586326845,206
Upper West,2013,4,28,24.0794752363649,165
Ahafo,2014,1,16,24.002681637754574,86
Upper East,2015,5,25,29.544815169366604,245
Upper West,2018,2,10,26.504693202236815,109
Northern,2012,7,10,21.390209664702734,181
Volta,2010,5,12,34.17334348468364,220
Ahafo,2014,4,27,28.24715573341606,158
Upper West,2020,12,25,20.560967829480347,186
Northern,2022,12,25,24.205839451893272,218
Oti,2012,4,2,34.916932134460275,139
Western,2012,12,21,26.64492745626629,46
Greater Accra,2013,11,25,27.902609763087753,66
Savannah,2020,4,10,25.094079195772185,78
Central,2019,5,20,20.941368382356917,40
Western North,2019,2,4,24.30305673609391,178
Bono East,2023,6,22,23.20343450983114,34
Bono,2015,3,26,30.54207280162257,48
Bono,2011,5,8,27.28058445640923,127
Northern,2014,1,26,22.925522935903068,126
Central,2023,12,16,32.0928910943712,86
Ahafo,2010,6,11,24.2417014612248,95
Oti,2017,3,3,20.030408956699436,184
Eastern,2018,4,14,28.080561707891484,159
Savannah,2019,5,11,31.24076270232527,105
Ashanti,2010,11,18,27.301516192411714,65
Ashanti,2016,8,8,25.865635854525408,214
Greater Accra,2021,5,14,26.060263807663087,104
Western North,2017,5,10,23.55109355407326,91
Central,2019,12,28,20.009541152961294,33
Central,2014,7,17,24.414006554838846,133
Western,2013,5,8,30.467596032277932,164
Greater Accra,2018,11,1,22.215205235666705,151
Western North,2016,9,21,28.523162179543927,68
Ashanti,2022,2,20,25.12504087143453,232
Ahafo,2014,5,4,29.796653463104533,207
Bono,2020,8,25,24.83997805828244,103
Bono East,2019,11,21,30.17042658483747,126
Upper East,2013,10,26,33.24672850828174,128
Greater Accra,2013,6,19,24.221877720385322,185
Central,2017,3,22,22.468399595798708,156
Volta,2011,9,4,25.62322408199602,70
Upper East,2012,1,28,28.310413056864768,240
Central,2017,12,2,25.49542742736825,2
Savannah,2018,5,4,33.65147688398663,25
Volta,2015,5,20,20.963395925200416,171
Bono,2014,10,25,20.378095706251354,192
Central,2011,5,16,34.94331995491877,175
Volta,2015,1,30,30.6201632426367,32
Upper West,2016,11,24,28.129974808169777,34
Savannah,2012,9,20,29.86968995233479,207
Upper West,2014,4,14,28.030858147166185,182
North East,2017,8,10,26.232769246584375,222
Ashanti,2023,9,2,26.59090118836588,85
Upper East,2015,9,16,28.39677499836197,38
Volta,2020,1,22,23.104372790262083,82
Oti,2017,5,6,27.036638389889518,102
Ahafo,2014,8,11,31.807505661925717,91
Upper East,2010,5,19,28.61430824073345,224
Central,2013,8,22,29.529185879374015,2
Western North,2010,4,17,27.353023798157743,119
Central,2017,6,20,22.20079832833823,129
Ashanti,2018,8,29,28.774999877753086,173
Ashanti,2011,2,3,33.238534594448566,189
Ahafo,2018,9,1,28.000210187501573,209
Northern,2020,7,8,25.56360372669844,124
